/home/dumball/code/new/lib/python3.11/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([32, 1])) that is different to the input size (torch.Size([32, 2])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
Epoch: 34/10, Step: 1/4, Loss: 0.7295
Epoch: 35/10, Step: 1/4, Loss: 1.4980
Epoch: 36/10, Step: 1/4, Loss: 1.6691
Epoch: 37/10, Step: 1/4, Loss: 1.1560
Epoch: 38/10, Step: 1/4, Loss: 1.4728
Epoch: 39/10, Step: 1/4, Loss: 1.4162
Epoch: 40/10, Step: 1/4, Loss: 1.5510
Epoch: 41/10, Step: 1/4, Loss: 1.4236
Epoch: 42/10, Step: 1/4, Loss: 1.4929
Epoch: 43/10, Step: 1/4, Loss: 1.4939
Epoch: 44/10, Step: 1/4, Loss: 1.6188
Epoch: 45/10, Step: 1/4, Loss: 1.1006
Epoch: 46/10, Step: 1/4, Loss: 1.2179
Epoch: 47/10, Step: 1/4, Loss: 0.9816
Epoch: 48/10, Step: 1/4, Loss: 0.8461
Epoch: 49/10, Step: 1/4, Loss: 1.2474
Epoch: 50/10, Step: 1/4, Loss: 0.9258
Epoch: 51/10, Step: 1/4, Loss: 1.6643
Epoch: 52/10, Step: 1/4, Loss: 1.2133
Epoch: 53/10, Step: 1/4, Loss: 1.5365
Epoch: 54/10, Step: 1/4, Loss: 1.0851
Epoch: 55/10, Step: 1/4, Loss: 1.0578
Epoch: 56/10, Step: 1/4, Loss: 1.0727
Epoch: 57/10, Step: 1/4, Loss: 0.8615
Epoch: 58/10, Step: 1/4, Loss: 1.2295
Epoch: 59/10, Step: 1/4, Loss: 1.3190
Epoch: 60/10, Step: 1/4, Loss: 1.6298
Epoch: 61/10, Step: 1/4, Loss: 1.2349
Epoch: 62/10, Step: 1/4, Loss: 1.0815
Epoch: 63/10, Step: 1/4, Loss: 0.9490
Epoch: 64/10, Step: 1/4, Loss: 1.3258
Epoch: 65/10, Step: 1/4, Loss: 0.8227
Epoch: 66/10, Step: 1/4, Loss: 1.4053
Epoch: 67/10, Step: 1/4, Loss: 1.1408
Epoch: 68/10, Step: 1/4, Loss: 1.0287
Epoch: 69/10, Step: 1/4, Loss: 1.2746
Epoch: 70/10, Step: 1/4, Loss: 0.8198
Epoch: 71/10, Step: 1/4, Loss: 1.1522
Epoch: 72/10, Step: 1/4, Loss: 1.5659
Epoch: 73/10, Step: 1/4, Loss: 1.4036
Epoch: 74/10, Step: 1/4, Loss: 1.3705
Epoch: 75/10, Step: 1/4, Loss: 0.7758
Epoch: 76/10, Step: 1/4, Loss: 1.6292
Epoch: 77/10, Step: 1/4, Loss: 1.1779
Epoch: 78/10, Step: 1/4, Loss: 1.3085
Epoch: 79/10, Step: 1/4, Loss: 1.3990
Epoch: 80/10, Step: 1/4, Loss: 1.3198
Epoch: 81/10, Step: 1/4, Loss: 0.9243
Epoch: 82/10, Step: 1/4, Loss: 0.9140
Epoch: 83/10, Step: 1/4, Loss: 1.1767
Epoch: 84/10, Step: 1/4, Loss: 0.8436
Epoch: 85/10, Step: 1/4, Loss: 0.9380
Epoch: 86/10, Step: 1/4, Loss: 0.9639
Epoch: 87/10, Step: 1/4, Loss: 1.4156
Epoch: 88/10, Step: 1/4, Loss: 1.5326
Epoch: 89/10, Step: 1/4, Loss: 1.1942
Epoch: 90/10, Step: 1/4, Loss: 1.2782
Epoch: 91/10, Step: 1/4, Loss: 0.9937
Epoch: 92/10, Step: 1/4, Loss: 1.7798
Epoch: 93/10, Step: 1/4, Loss: 1.4985
Epoch: 94/10, Step: 1/4, Loss: 1.4455
Epoch: 95/10, Step: 1/4, Loss: 1.2159
Epoch: 96/10, Step: 1/4, Loss: 1.0916
Epoch: 97/10, Step: 1/4, Loss: 1.3058
Epoch: 98/10, Step: 1/4, Loss: 1.2177
Epoch: 99/10, Step: 1/4, Loss: 1.7710
Epoch: 100/10, Step: 1/4, Loss: 0.7776
Training complete!
